id,terrestrial_date,sol,ls,month,min_temp,pressure
1487,2017-01-01,1566,290,10,-76.0,876.0
1486,2017-01-02,1567,291,10,-70.0,872.0
1488,2017-01-03,1568,291,10,-71.0,876.0
1492,2017-01-04,1569,292,10,-70.0,873.0
1491,2017-01-05,1570,293,10,-71.0,873.0
1490,2017-01-06,1571,293,10,-70.0,873.0
1489,2017-01-07,1572,294,10,-81.0,869.0
1493,2017-01-08,1573,295,10,-74.0,872.0
1495,2017-01-09,1574,295,10,-72.0,868.0
1494,2017-01-10,1575,296,10,-73.0,871.0
1496,2017-01-11,1576,296,10,-72.0,869.0
1498,2017-01-12,1577,297,10,-72.0,866.0
1499,2017-01-13,1578,298,10,-74.0,868.0
1500,2017-01-14,1579,298,10,-73.0,862.0
1497,2017-01-15,1580,299,10,-72.0,867.0
1501,2017-01-16,1581,299,10,-72.0,862.0
1503,2017-01-17,1582,300,11,-74.0,862.0
1502,2017-01-18,1583,301,11,-75.0,862.0
1505,2017-01-19,1584,301,11,-77.0,860.0
1506,2017-01-20,1585,302,11,-76.0,864.0
1504,2017-01-21,1586,303,11,-72.0,858.0
1508,2017-01-22,1587,303,11,-73.0,860.0
1507,2017-01-23,1588,304,11,-72.0,858.0
1510,2017-01-24,1589,304,11,-72.0,857.0
1509,2017-01-25,1590,305,11,-76.0,860.0
1512,2017-01-26,1591,306,11,-73.0,852.0
1511,2017-01-27,1592,306,11,-71.0,857.0
1513,2017-01-28,1593,307,11,-72.0,852.0
1514,2017-01-29,1594,307,11,-74.0,855.0
1515,2017-01-30,1595,308,11,-71.0,855.0
1516,2017-01-31,1596,309,11,-74.0,850.0
1517,2017-02-01,1597,309,11,-73.0,855.0
1519,2017-02-03,1598,310,11,-70.0,849.0
1518,2017-02-04,1599,310,11,-72.0,853.0
1520,2017-02-05,1600,311,11,-71.0,850.0
1522,2017-02-06,1601,312,11,-71.0,853.0
1521,2017-02-07,1602,312,11,-77.0,852.0
1523,2017-02-08,1603,313,11,-76.0,847.0
1524,2017-02-09,1604,313,11,-77.0,850.0
1526,2017-02-10,1605,314,11,-73.0,846.0
1525,2017-02-11,1606,315,11,-75.0,850.0
1528,2017-02-12,1607,315,11,-77.0,846.0
1527,2017-02-13,1608,316,11,-72.0,847.0
1529,2017-02-14,1609,316,11,-71.0,847.0
1534,2017-02-18,1613,319,11,-72.0,846.0
1533,2017-02-19,1614,319,11,-73.0,837.0
1536,2017-02-20,1615,320,11,-73.0,842.0
1535,2017-02-21,1616,320,11,-73.0,848.0
1537,2017-02-22,1617,321,11,-72.0,840.0
1540,2017-02-23,1618,322,11,-71.0,845.0
1538,2017-02-24,1619,322,11,-73.0,841.0
1539,2017-02-25,1620,323,11,-70.0,844.0
